"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCL5",3.11885955208362,7.22274667065988,6.14609607352463,2.1493973395814e-06,0.0273969250075954,3.63628442387446
"UBD",2.87224028854524,10.6086419690007,5.97458811898084,3.29354488449891e-06,0.0273969250075954,3.3393062607673
"TAFA1",1.98727268884489,5.94601422245471,5.89689899065586,3.99974573082807e-06,0.0273969250075954,3.20320707928145
"CCL20",4.20081155087336,8.27647284922682,5.57516750297691,8.99327152882659e-06,0.0462006841614644,2.62959115063551
"BIRC3",0.872619266926851,10.1545725720713,5.05428370590053,3.39256176811517e-05,0.139427503545997,1.67012779010203
"KIF27",-1.79520205576802,4.3714952779375,-4.93685866621343,4.58513471982782e-05,0.144201521818232,1.44932843446239
"LINC00342",0.802540289816802,9.21536037761449,4.91002440991575,4.91221301633959e-05,0.144201521818232,1.39867103950189
"HLA-DMA",0.747417594392466,11.7324929365531,4.78194565707168,6.82687130633452e-05,0.175356723092335,1.15594125048886
"ADAMDEC1",1.48387050066983,9.34109499214695,4.70852891653031,8.24558934639199e-05,0.179432475544453,1.01615383632808
"ANKRD36B",1.18415263875078,9.90950648351436,4.68625048235566,8.73193223730851e-05,0.179432475544453,0.973649137768842
"CXCL3",2.41168884483734,8.98193158557973,4.58877393667517,0.000112207525058212,0.18197357682596,0.787243476442558
"SASS6",2.11239665031346,6.97093359747659,4.58694419096539,0.000112736990493169,0.18197357682596,0.783738108330415
"LINC02349",1.83074541212617,5.15786339604763,4.57880470879882,0.000115122706639616,0.18197357682596,0.768142086349063
"CRYGB",1.44897806794353,6.26073044924947,4.54534066426027,0.000125473059488243,0.184167564244565,0.703977234455009
"GNB4",0.739814201240056,8.09153750597222,4.4828305552332,0.000147361261100927,0.198768663747669,0.583938591750877
"LIPC",-1.24969021664941,4.12491437457299,-4.40415843341644,0.000180400362208447,0.198768663747669,0.432568640863812
"SLAMF8",0.886445345683324,8.10584264196412,4.36750673542357,0.000198220037624658,0.198768663747669,0.361951465964521
"ZIC2",-2.20969604975473,4.50026665594734,-4.35632870455196,0.000203995842590879,0.198768663747669,0.340403785448438
"FCGR3A",2.46973217370903,6.9626952283153,4.3561707152608,0.00020407866698841,0.198768663747669,0.340099197903744
"IQCG",0.750915537301124,7.05494989406758,4.35125300697962,0.000206673538354995,0.198768663747669,0.33061787561791
"TRPC6",1.18193543519058,6.35298801733983,4.33125978125582,0.000217565724578379,0.198768663747669,0.29206185144825
"MMP12",2.57051500666204,9.63747376552199,4.30983953281559,0.000229869895616415,0.198768663747669,0.250738454506436
"PNPLA3",0.764452830689375,5.76328380980518,4.30627185051794,0.000231985457128676,0.198768663747669,0.243854310844351
"LHX5",-1.12542002448107,4.61165529964685,-4.29302095618697,0.00024001390707312,0.198768663747669,0.21828212772782
"CCL18",2.81020654319656,9.12701798421605,4.29009629623612,0.000241822793989573,0.198768663747669,0.212637270068814
"ASRGL1",0.7826675994057,9.67918528853723,4.2515267031455,0.000266985040294703,0.211010599731379,0.138172263029797
