"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLEC3B",-63.6862104640232,15.3539905216729,-14.1625831417075,6.39161228857939e-37,1.24655614464164e-32,72.75954422097
"DPT",-145.456375202449,26.4215084767905,-13.3114322408281,1.68301339885302e-33,1.64119051589152e-29,65.0648736758713
"JCHAIN",-4898.77014556877,1041.83655401543,-12.9433041236869,4.8125829755905e-32,3.12866019243138e-28,61.7884766336523
"CMTM5",-1.17756358630305,0.234112187421696,-12.0799729614102,1.08128312852495e-28,5.27206621390553e-25,54.2481155043528
"C16orf89",-37.3958454162644,9.26930255139419,-11.639269445957,5.08419327075682e-27,1.9831404271914e-23,50.4862542583632
"PPP1R1A",-28.9821048138445,5.09009245810956,-11.2509132247099,1.43155669003784e-25,4.65327502096799e-22,47.2258680347589
"LYVE1",-19.181508466551,5.75848459597049,-11.1117354527715,4.67186699385193e-25,1.3016488854442e-21,46.070657199562
"VSTM2A",-1.03118002785095,0.224646386844714,-11.073516311337,6.45648012130724e-25,1.57400914757319e-21,45.7546934101287
"MYZAP",-5.83670736202246,3.39753210372421,-11.0013924448374,1.18709190407746e-24,2.57242815613585e-21,45.1599407029422
"GNG7",-10.8081570961516,5.52348702466353,-10.8657081438721,3.71263988858482e-24,7.24076157470698e-21,44.0464688562492
"SCARA5",-27.0351720058804,6.2897048947798,-10.6526982595741,2.19121172804792e-23,3.88501839382896e-20,42.313062230838
"CFD",-348.456490852347,104.239940350571,-10.5715618754374,4.28798912136336e-23,6.96905431949581e-20,41.6576170474903
"PLP1",-9.73204230449731,2.00804232446689,-10.4279275629665,1.39795278308667e-22,2.09725177911841e-19,40.5039731880818
"GKN2",-1609.94507690667,239.135727690508,-10.3985977124955,1.77758155783219e-22,2.47629808017152e-19,40.2694658304903
"MAMDC2",-26.3013765182881,6.59463251236515,-10.3240646531373,3.26776947933028e-22,4.24875387702523e-19,39.6751821258773
"HPGD",-75.2750151262399,34.6360195506316,-10.2863527737519,4.44268893838571e-22,5.41536014783353e-19,39.3753967798152
"FXYD1",-4.59908613899599,1.63939578103851,-10.2336699307279,6.81625504316778e-22,7.81984835922948e-19,38.957631993638
"GPM6B",-13.7212902576537,4.24344446134568,-10.2101830038882,8.24618809628385e-22,8.93474480232355e-19,38.7717745792593
"MTUS2",-1.90936447030339,0.422068745014365,-10.1410020133781,1.44296200635401e-21,1.48116252683801e-18,38.2257359587218
"RXRG",-2.18151225718398,0.543023202966606,-10.0136336208848,4.01992601672026e-21,3.92003085520476e-18,37.2259869160972
"GCNT4",-10.514899500209,4.79544896750336,-9.93463518539435,7.56133900792011e-21,7.02232355578409e-18,36.6095788363819
"CADM3",-12.1288742020296,3.46547387887897,-9.91813596455,8.62477851279894e-21,7.64586615159626e-18,36.4811979883636
"GSTM5",-5.8411042098405,1.99432844523832,-9.85339281657557,1.44369509200558e-20,1.2241906686689e-17,35.9786387167047
"FAM180B",-1.96595371223979,0.431112191642449,-9.83737073878801,1.63949995249493e-20,1.33229864889619e-17,35.8545685536883
