"","dynamicColors","mergedColors"
"SAMD11","brown","greenyellow"
"NOC2L","magenta","lightyellow"
"KLHL17","magenta","lightyellow"
"PLEKHN1","grey","grey"
"PERM1","grey","grey"
"HES4","grey","grey"
"ISG15","royalblue","royalblue"
"AGRN","turquoise","lightcyan"
"RNF223","grey","grey"
"C1orf159","magenta","lightyellow"
"TNFRSF18","red","purple"
"TNFRSF4","red","purple"
"SDF4","magenta","lightyellow"
"B3GALT6","magenta","lightyellow"
"C1QTNF12","grey","grey"
"UBE2J2","magenta","lightyellow"
"SCNN1D","grey","grey"
"ACAP3","turquoise","lightcyan"
"PUSL1","magenta","lightyellow"
"INTS11","magenta","lightyellow"
"CPTP","magenta","lightyellow"
"TAS1R3","grey","grey"
"DVL1","magenta","lightyellow"
"MXRA8","pink","greenyellow"
"AURKAIP1","magenta","lightyellow"
"CCNL2","tan","tan"
"MRPL20","magenta","lightyellow"
"ANKRD65","brown","greenyellow"
"TMEM88B","grey","grey"
"VWA1","greenyellow","greenyellow"
"ATAD3C","grey","grey"
"ATAD3B","magenta","lightyellow"
"ATAD3A","magenta","lightyellow"
"TMEM240","brown","greenyellow"
"SSU72","magenta","lightyellow"
"FNDC10","grey","grey"
"MIB2","magenta","lightyellow"
"MMP23B","pink","greenyellow"
"CDK11B","turquoise","lightcyan"
"SLC35E2B","turquoise","lightcyan"
"CDK11A","tan","tan"
"SLC35E2A","turquoise","lightcyan"
"NADK","turquoise","lightcyan"
"GNB1","turquoise","lightcyan"
"TMEM52","grey","grey"
"GABRD","greenyellow","greenyellow"
"PRKCZ","magenta","lightyellow"
"FAAP20","magenta","lightyellow"
"SKI","cyan","greenyellow"
"MORN1","turquoise","lightcyan"
"RER1","magenta","lightyellow"
"PEX10","magenta","lightyellow"
"PLCH2","grey","grey"
"PANK4","turquoise","lightcyan"
"HES5","grey","grey"
"TNFRSF14","magenta","lightyellow"
"PRXL2B","magenta","lightyellow"
"MMEL1","grey","grey"
"PRDM16","grey","grey"
"ARHGEF16","brown","greenyellow"
"MEGF6","pink","greenyellow"
"TPRG1L","turquoise","lightcyan"
"WRAP73","black","lightyellow"
"TP73","grey","grey"
"SMIM1","grey","grey"
"LRRC47","turquoise","lightcyan"
"CEP104","turquoise","lightcyan"
"DFFB","green","lightcyan"
"C1orf174","green","lightcyan"
"NPHP4","turquoise","lightcyan"
"KCNAB2","red","purple"
"RPL22","midnightblue","midnightblue"
"RNF207","tan","tan"
"ICMT","turquoise","lightcyan"
"GPR153","brown","greenyellow"
"ACOT7","yellow","lightyellow"
"HES2","grey","grey"
"ESPN","grey","grey"
"TNFRSF25","tan","tan"
"PLEKHG5","turquoise","lightcyan"
"NOL9","turquoise","lightcyan"
"ZBTB48","turquoise","lightcyan"
"KLHL21","cyan","greenyellow"
