p_val	avg_diff	pct.1	pct.2	p_val_adj	cluster	gene
CD74	0	5.21143387531533	0.96	0.688	0	0	CD74
HLA-DRA	0	4.92958660328331	0.938	0.364	0	0	HLA-DRA
CXCR4	0	2.59796552261918	0.795	0.252	0	0	CXCR4
CD69	0	1.92787975812897	0.747	0.374	0	0	CD69
CD52	0	1.31241413038083	0.79	0.338	0	0	CD52
CD83	0	1.30825759173198	0.6	0.098	0	0	CD83
BTG1	0	1.11343869891471	0.753	0.611	0	0	BTG1
HLA-DPB1	0	1.09435862094652	0.773	0.242	0	0	HLA-DPB1
MS4A1	0	1.0266164541661	0.591	0.046	0	0	MS4A1
CD37	0	0.996190170603351	0.673	0.229	0	0	CD37
HLA-DRB1	0	0.992809090184219	0.815	0.313	0	0	HLA-DRB1
HLA-DPA1	0	0.970594064706206	0.737	0.268	0	0	HLA-DPA1
HLA-DQB1	0	0.96774794028961	0.67	0.182	0	0	HLA-DQB1
VPREB3	0	0.781242488704371	0.499	0.056	0	0	VPREB3
LAPTM5	0	0.609360708281583	0.582	0.231	0	0	LAPTM5
LTB	0	0.564711252989652	0.496	0.183	0	0	LTB
HLA-DQA1	0	0.473302309510796	0.512	0.161	0	0	HLA-DQA1
SMIM14	0	0.392455681106949	0.394	0.168	0	0	SMIM14
BANK1	0	0.386123676916733	0.318	0.031	0	0	BANK1
GPR183	0	0.380838468034769	0.466	0.28	0	0	GPR183
IRF8	0	0.32322864851516	0.3	0.061	0	0	IRF8
CD79B	0	0.25399097599415	0.328	0.144	0	0	CD79B
HLA-DRB5	0	0.24123056964897	0.469	0.161	0	0	HLA-DRB5
REL	0	0.241054044330827	0.324	0.147	0	0	REL
NR4A2	0	0.203669023889941	0.355	0.217	0	0	NR4A2
SLC2A3	0	0.18124822444679	0.301	0.159	0	0	SLC2A3
MEF2C	0	0.179543428998073	0.38	0.219	0	0	MEF2C
PMAIP1	0	0.142349683515837	0.252	0.139	0	0	PMAIP1
LIMD2	0	0.141111249314602	0.306	0.175	0	0	LIMD2
STK4	0	0.132006484375942	0.344	0.243	0	0	STK4
DRAM2	0	0.128918570228628	0.262	0.159	0	0	DRAM2
RP11-347P5.1	0	0.11813641134984	0.262	0.168	0	0	RP11-347P5.1
RHOH	0	0.116030168865256	0.299	0.207	0	0	RHOH
CMTM6	0	0.115841094679316	0.315	0.227	0	0	CMTM6
CD53	0	0.101708429298697	0.334	0.233	0	0	CD53
NR4A1	0	0.0898944822528727	0.314	0.229	0	0	NR4A1
GPSM3	0	0.089578954619641	0.292	0.209	0	0	GPSM3
CORO1A	0	0.0821650285913679	0.483	0.315	0	0	CORO1A
CD48	0	0.0816396481817964	0.256	0.169	0	0	CD48
KLF6	0	0.0761696052922041	0.61	0.526	0	0	KLF6
CYTIP	0	0.0686608228700839	0.373	0.292	0	0	CYTIP
HLA-DQA2	0	0.0667364685850373	0.288	0.13	0	0	HLA-DQA2
HLA-DMA	0	0.0269887452552232	0.389	0.247	0	0	HLA-DMA
UCP2	0	0.0180537179160642	0.257	0.194	0	0	UCP2
ELF1	1.43649279747664e-191	0.0359626689345406	0.269	0.228	3.25078320068964e-187	0	ELF1
IGJ	0	742.405898437389	0.994	0.723	0	1	IGJ
IGLL5	0	589.560776213546	0.969	0.554	0	1	IGLL5
SSR4	0	27.3208361579598	0.976	0.459	0	1	SSR4
MZB1	0	16.2750335467511	0.961	0.112	0	1	MZB1
